"";"rua";"cohort";"sex";"agegr";"year";"endpoint";"events";"followupyears"
"1";"FIN-EASa";1;"Men";"<35";1982;"DEATH";0;686.689
"2";"FIN-EASa";1;"Men";"<35";1983;"DEATH";1;711.5744
"3";"FIN-EASa";1;"Men";"<35";1984;"DEATH";0;614.5302
"4";"FIN-EASa";1;"Men";"<35";1985;"DEATH";0;522.0087
"5";"FIN-EASa";1;"Men";"<35";1986;"DEATH";1;430.3187
"6";"FIN-EASa";1;"Men";"<35";1987;"DEATH";0;339.8773
"7";"FIN-EASa";1;"Men";"<35";1988;"DEATH";1;261.7358
"8";"FIN-EASa";1;"Men";"<35";1989;"DEATH";0;190.5017
"9";"FIN-EASa";1;"Men";"<35";1990;"DEATH";0;119.4308
"10";"FIN-EASa";1;"Men";"<35";1991;"DEATH";0;63.12631
"11";"FIN-EASa";1;"Men";"<35";1992;"DEATH";0;13.83162
"12";"FIN-EASa";1;"Men";"35-44";1982;"DEATH";2;656.7075
"13";"FIN-EASa";1;"Men";"35-44";1983;"DEATH";0;789.0602
"14";"FIN-EASa";1;"Men";"35-44";1984;"DEATH";1;814.4895
"15";"FIN-EASa";1;"Men";"35-44";1985;"DEATH";0;844.233
"16";"FIN-EASa";1;"Men";"35-44";1986;"DEATH";5;863.7387
"17";"FIN-EASa";1;"Men";"35-44";1987;"DEATH";3;871.352
"18";"FIN-EASa";1;"Men";"35-44";1988;"DEATH";2;874.23
"19";"FIN-EASa";1;"Men";"35-44";1989;"DEATH";3;872.5024
"20";"FIN-EASa";1;"Men";"35-44";1990;"DEATH";4;866.7609
"21";"FIN-EASa";1;"Men";"35-44";1991;"DEATH";0;829.0662
"22";"FIN-EASa";1;"Men";"35-44";1992;"DEATH";0;786.056
"23";"FIN-EASa";1;"Men";"35-44";1993;"DEATH";0;703.9265
"24";"FIN-EASa";1;"Men";"35-44";1994;"DEATH";0;608.5302
"25";"FIN-EASa";1;"Men";"35-44";1995;"DEATH";2;515.5834
"26";"FIN-EASa";1;"Men";"35-44";1996;"DEATH";1;425.6029
"27";"FIN-EASa";1;"Men";"35-44";1997;"DEATH";0;335.8773
"28";"FIN-EASa";1;"Men";"35-44";1998;"DEATH";1;259.6271
"29";"FIN-EASa";1;"Men";"35-44";1999;"DEATH";1;189.9049
"30";"FIN-EASa";1;"Men";"35-44";2000;"DEATH";0;119.3083
"31";"FIN-EASa";1;"Men";"35-44";2001;"DEATH";1;62.75396
"32";"FIN-EASa";1;"Men";"35-44";2002;"DEATH";0;13.21591
"33";"FIN-EASa";1;"Men";"45-54";1982;"DEATH";3;602.8773
"34";"FIN-EASa";1;"Men";"45-54";1983;"DEATH";8;699.9093
"35";"FIN-EASa";1;"Men";"45-54";1984;"DEATH";3;685.2355
"36";"FIN-EASa";1;"Men";"45-54";1985;"DEATH";4;664.1882
"37";"FIN-EASa";1;"Men";"45-54";1986;"DEATH";7;663.2494
"38";"FIN-EASa";1;"Men";"45-54";1987;"DEATH";7;668.6545
"39";"FIN-EASa";1;"Men";"45-54";1988;"DEATH";4;677.2
"40";"FIN-EASa";1;"Men";"45-54";1989;"DEATH";8;677.6297
